price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
149.0,1.0,9.0,0.21,6.0,365.0,0,1,0,0,0,0,1,0
225.0,1.0,45.0,0.38,2.0,355.0,0,0,1,0,0,1,0,0
150.0,3.0,0.0,0.0,1.0,365.0,0,0,1,0,0,0,1,0
89.0,1.0,270.0,4.64,1.0,194.0,0,1,0,0,0,1,0,0
80.0,10.0,9.0,0.1,1.0,0.0,0,0,1,0,0,1,0,0
200.0,3.0,74.0,0.59,1.0,129.0,0,0,1,0,0,1,0,0
60.0,45.0,49.0,0.4,1.0,0.0,0,1,0,0,0,0,1,0
79.0,2.0,430.0,3.47,1.0,220.0,0,0,1,0,0,0,1,0
79.0,2.0,118.0,0.99,1.0,0.0,0,0,1,0,0,0,1,0
150.0,1.0,160.0,1.33,4.0,188.0,0,0,1,0,0,1,0,0
135.0,5.0,53.0,0.43,1.0,6.0,0,0,1,0,0,1,0,0
85.0,2.0,188.0,1.5,1.0,39.0,0,0,1,0,0,0,1,0
89.0,4.0,167.0,1.34,3.0,314.0,0,1,0,0,0,0,1,0
85.0,2.0,113.0,0.91,1.0,333.0,0,0,1,0,0,0,1,0
120.0,90.0,27.0,0.22,1.0,0.0,0,0,1,0,0,1,0,0
140.0,2.0,148.0,1.2,1.0,46.0,0,1,0,0,0,1,0,0
215.0,2.0,198.0,1.72,1.0,321.0,0,1,0,0,0,1,0,0
140.0,1.0,260.0,2.12,1.0,12.0,0,0,1,0,0,0,1,0
99.0,3.0,53.0,4.44,1.0,21.0,0,1,0,0,0,1,0,0
190.0,7.0,0.0,0.0,2.0,249.0,0,0,1,0,0,1,0,0
299.0,3.0,9.0,0.07,1.0,0.0,0,1,0,0,0,1,0,0
130.0,2.0,130.0,1.09,6.0,347.0,0,1,0,0,0,0,1,0
80.0,1.0,39.0,0.37,6.0,364.0,0,1,0,0,0,0,1,0
110.0,2.0,71.0,0.61,6.0,304.0,0,1,0,0,0,0,1,0
120.0,2.0,88.0,0.73,2.0,233.0,0,1,0,0,0,1,0,0
60.0,1.0,19.0,1.37,2.0,85.0,0,1,0,0,0,0,1,0
80.0,4.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,1,0
150.0,10.0,58.0,0.49,1.0,75.0,0,0,1,0,0,1,0,0
44.0,3.0,108.0,1.11,3.0,311.0,0,0,1,0,0,0,1,0
180.0,14.0,29.0,0.24,1.0,67.0,0,0,1,0,0,1,0,0
50.0,3.0,242.0,2.04,3.0,355.0,0,0,1,0,0,0,1,0
52.0,2.0,88.0,1.42,1.0,255.0,0,0,1,0,0,0,1,0
55.0,4.0,197.0,1.65,3.0,284.0,0,1,0,0,0,0,1,0
50.0,3.0,273.0,2.37,3.0,359.0,0,0,1,0,0,0,1,0
70.0,1.0,74.0,0.66,2.0,269.0,0,1,0,0,0,0,1,0
35.0,60.0,0.0,0.0,1.0,365.0,0,1,0,0,0,0,1,0
85.0,2.0,231.0,1.96,2.0,22.0,0,1,0,0,0,1,0,0
150.0,1.0,0.0,0.0,1.0,365.0,0,1,0,0,0,0,1,0
40.0,1.0,214.0,1.81,4.0,188.0,0,0,1,0,0,0,0,1
68.0,2.0,245.0,2.08,2.0,96.0,0,0,1,0,0,0,1,0
120.0,3.0,15.0,0.39,1.0,345.0,0,1,0,0,0,1,0,0
120.0,7.0,25.0,0.23,1.0,311.0,0,1,0,0,0,0,1,0
135.0,4.0,81.0,0.69,1.0,273.0,0,0,1,0,0,0,1,0
