neighbourhood,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
Kensington,149.0,1.0,9.0,0.21,6.0,365.0,0,1,0,0,0,0,1,0
Midtown,225.0,1.0,45.0,0.38,2.0,355.0,0,0,1,0,0,1,0,0
Harlem,150.0,3.0,0.0,0.0,1.0,365.0,0,0,1,0,0,0,1,0
Clinton Hill,89.0,1.0,270.0,4.64,1.0,194.0,0,1,0,0,0,1,0,0
East Harlem,80.0,10.0,9.0,0.1,1.0,0.0,0,0,1,0,0,1,0,0
Murray Hill,200.0,3.0,74.0,0.59,1.0,129.0,0,0,1,0,0,1,0,0
Bedford-Stuyvesant,60.0,45.0,49.0,0.4,1.0,0.0,0,1,0,0,0,0,1,0
Hell's Kitchen,79.0,2.0,430.0,3.47,1.0,220.0,0,0,1,0,0,0,1,0
Upper West Side,79.0,2.0,118.0,0.99,1.0,0.0,0,0,1,0,0,0,1,0
Chinatown,150.0,1.0,160.0,1.33,4.0,188.0,0,0,1,0,0,1,0,0
Upper West Side,135.0,5.0,53.0,0.43,1.0,6.0,0,0,1,0,0,1,0,0
Hell's Kitchen,85.0,2.0,188.0,1.5,1.0,39.0,0,0,1,0,0,0,1,0
South Slope,89.0,4.0,167.0,1.34,3.0,314.0,0,1,0,0,0,0,1,0
Upper West Side,85.0,2.0,113.0,0.91,1.0,333.0,0,0,1,0,0,0,1,0
West Village,120.0,90.0,27.0,0.22,1.0,0.0,0,0,1,0,0,1,0,0
Williamsburg,140.0,2.0,148.0,1.2,1.0,46.0,0,1,0,0,0,1,0,0
Fort Greene,215.0,2.0,198.0,1.72,1.0,321.0,0,1,0,0,0,1,0,0
Chelsea,140.0,1.0,260.0,2.12,1.0,12.0,0,0,1,0,0,0,1,0
Crown Heights,99.0,3.0,53.0,4.44,1.0,21.0,0,1,0,0,0,1,0,0
East Harlem,190.0,7.0,0.0,0.0,2.0,249.0,0,0,1,0,0,1,0,0
Williamsburg,299.0,3.0,9.0,0.07,1.0,0.0,0,1,0,0,0,1,0,0
Park Slope,130.0,2.0,130.0,1.09,6.0,347.0,0,1,0,0,0,0,1,0
Park Slope,80.0,1.0,39.0,0.37,6.0,364.0,0,1,0,0,0,0,1,0
Park Slope,110.0,2.0,71.0,0.61,6.0,304.0,0,1,0,0,0,0,1,0
Bedford-Stuyvesant,120.0,2.0,88.0,0.73,2.0,233.0,0,1,0,0,0,1,0,0
Windsor Terrace,60.0,1.0,19.0,1.37,2.0,85.0,0,1,0,0,0,0,1,0
Inwood,80.0,4.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,1,0
Hell's Kitchen,150.0,10.0,58.0,0.49,1.0,75.0,0,0,1,0,0,1,0,0
Inwood,44.0,3.0,108.0,1.11,3.0,311.0,0,0,1,0,0,0,1,0
East Village,180.0,14.0,29.0,0.24,1.0,67.0,0,0,1,0,0,1,0,0
Harlem,50.0,3.0,242.0,2.04,3.0,355.0,0,0,1,0,0,0,1,0
Harlem,52.0,2.0,88.0,1.42,1.0,255.0,0,0,1,0,0,0,1,0
Greenpoint,55.0,4.0,197.0,1.65,3.0,284.0,0,1,0,0,0,0,1,0
Harlem,50.0,3.0,273.0,2.37,3.0,359.0,0,0,1,0,0,0,1,0
Bedford-Stuyvesant,70.0,1.0,74.0,0.66,2.0,269.0,0,1,0,0,0,0,1,0
Bedford-Stuyvesant,35.0,60.0,0.0,0.0,1.0,365.0,0,1,0,0,0,0,1,0
Bushwick,85.0,2.0,231.0,1.96,2.0,22.0,0,1,0,0,0,1,0,0
Flatbush,150.0,1.0,0.0,0.0,1.0,365.0,0,1,0,0,0,0,1,0
Lower East Side,40.0,1.0,214.0,1.81,4.0,188.0,0,0,1,0,0,0,0,1
East Village,68.0,2.0,245.0,2.08,2.0,96.0,0,0,1,0,0,0,1,0
South Slope,120.0,3.0,15.0,0.39,1.0,345.0,0,1,0,0,0,1,0,0
Fort Greene,120.0,7.0,25.0,0.23,1.0,311.0,0,1,0,0,0,0,1,0
Upper West Side,135.0,4.0,81.0,0.69,1.0,273.0,0,0,1,0,0,0,1,0
Harlem,150.0,7.0,97.0,0.84,1.0,309.0,0,0,1,0,0,1,0,0
Prospect-Lefferts Gardens,150.0,29.0,11.0,0.49,1.0,95.0,0,1,0,0,0,1,0,0
Long Island City,130.0,3.0,248.0,2.25,1.0,215.0,0,0,0,1,0,0,1,0
Bedford-Stuyvesant,110.0,7.0,61.0,0.52,1.0,265.0,0,1,0,0,0,1,0,0
Bedford-Stuyvesant,115.0,3.0,11.0,0.1,1.0,0.0,0,1,0,0,0,1,0,0
Fort Greene,80.0,3.0,135.0,1.16,2.0,192.0,0,1,0,0,0,0,1,0
Bedford-Stuyvesant,80.0,1.0,112.0,1.01,3.0,251.0,0,1,0,0,0,0,1,0
Upper West Side,151.0,2.0,73.0,0.63,1.0,302.0,0,0,1,0,0,1,0,0
Williamsburg,228.0,3.0,82.0,0.7,1.0,140.0,0,1,0,0,0,1,0,0
Greenpoint,144.0,2.0,328.0,2.82,1.0,234.0,0,1,0,0,0,1,0,0
Kips Bay,200.0,7.0,19.0,0.22,1.0,257.0,0,0,1,0,0,1,0,0
Williamsburg,150.0,30.0,105.0,0.9,1.0,30.0,0,1,0,0,0,1,0,0
Lower East Side,110.0,5.0,19.0,0.17,1.0,301.0,0,0,1,0,0,0,1,0
Hell's Kitchen,69.0,2.0,289.0,2.49,2.0,294.0,0,0,1,0,0,0,1,0
